verb
하
내
되
대하
따르
하
하
위하
하
대하
대하
하
하
위하
하
갖추
인하
되
하
하
대하
하
따르
하
대하
대하
하
관하
따르
하
따르
하
정하
따르
대하
따르
거치
따르
정하
따르
보
하
관하
따르
보
하
보
하
미치
따르
보
하
관하
관하
따르
관하
따르
따르
따르
하
보
하
하
하
하
관하
하
하
따르
하
되
대하
있
거치
하
대하
하
미치
따르
위하
따르
통하
설치
하
대하
관하
따르
위하
인하
위하
하
하
대하
되
받
하
대하
되
따르
하
대하
하
갖추
하
대하
인하
있
하
따르
받
통하
위하
되
되
위하
위하
하
따르
되
위하
하
취하
하
위하
하
되
설치
있
하
관리하
관리하
위하
하
관리하
되
대하
하
대하
의하
위하
되
하
대하
주
주
하
위하
주
주
정하
있
따르
하
하
있
위하
하
따르
하
대하
있
되
하
미치
크
따르
대하
받
위하
되
하
하
위하
위하
따르
하
하
하
하
되
대하
하
받
따르
정하
대하
받
위하
하
보
되
대하
하
되
하
하
하
보
따르
하
되
따르
위하
되
있
대하
하
있
대하
따르
관리하
보
따르
하
따르
알리
하
인하
하
위하
따르
따르
따르
되
대하
인하
있
하
떨어지
하
의하
받
되
의하
받
의하
의하
의하
의하
관하
의하
관하
의하
받
관하
의하
관하
의하
의하
한하
의하
의하
의하
의하
정하
하
의하
하
따르
따르
따르
따르
보
하
따르
있
위하
있
따르
있
따르
따르
위하
따르
위하
있
위하
대하
하
되
의하
위하
대하
되
대하
통하
따르
되
대하
하
의하
되
대하
하
하
대하
받
대하
하
하
되
설치
하
대하
위하
하
의하
받
받
대하
하
되
대하
대하
관리하
위하
하
정하
하
거치
하
되
관리하
위하
정하
하
거치
하
하
되
되
대하
받
받
하
하
하
하
따르
하
위하
대하
있
갖추
되
받
위하
위하
하
위하
하
관하
관하
관하
거치
하
하
정하
따르
따르
마치
하
정하
따르
되
정하
따르
받
하
되
대하
있
따르
하
있
관하
의하
의하
입
따르
관하
따르
하
따르
하
하
따르
대하
위하
하
관하
정하
갖추
따르
있
따르
대하
있
정하
나누
있
따르
하
따르
하
보
하
따르
위하
있
위하
하
따르
되
관하
따르
되
따르
매
보
하
서
대하
있
