고지혈증,,
군대,,
고생,,
고참,,
한의원,,
보약,,
술자리,,
부동산,,
구매,,
피하다,,
선배,,
떠나다,,
돌아가다,,
생각나다,,
침대,,
환자,,
흉,,
집안일,,
시댁,,
낳다,,
바라다,,
이유,,
매우,,
스터디,,
팀,,
명,,
물질적,,
풍요,,
로,,
적막,,
가난,,
본부장,,
단순,,
끝없다,,
반복,,
바보,,
극구,,
난감,,
다녀오다,,
겁,,
여생,,
아까,,
약통,,
분리,,
가진,,
능력,,
기여,,
도,,
대우,,
못나다,,
서다,,
시선,,
여행가,,
동창,,
할매,,
남다,,
소리,,
지르다,,
실기,,
날인,,
컨디션,,
켜다,,
흐르다,,
따라서,,
현금,,
방법,,
방관,,
동참,,
절약,,
의지,,
와이프,,
잃다,,
사라지다,,
오랫동안,,
위기,,
고비,,
넘기다,,
것다,,
심기,,
프린트,,
용지,,
이용,,
정하다,,
넘어지다,,
외상,,
결제,,
움직이다,,
심부름,,
휴대전화,,
주고받다,,
옛날,,
멀다,,
잘리다,,
구직,,
활동,,
각자,,
활기,,
차다,,
합병,,
어찌,,
이직,,
장거리,,
그만,,
밤,,
잠,,
새벽,,
깨우다,,
행동,,
절교,,
급격히,,
변화,,
다가오다,,
심란,,
기억,,
권고,,
사직,,
제일,,
지속적,,
그저,,
즐거움,,
오전,,
임신,,
불입,,
연금,,
나중,,
안되다,,
외톨이,,
중학교,,
인기,,
릴,,
키,,
작다,,
성격,,
수주,,
배치,,
새로이,,
협조,,
당연히,,
손가락질,,
청혼,,
악의,,
불리다,,
의처증,,
일지,,
학자금,,
대출,,
갚다,,
이력서,,
넣다,,
퇴근길,,
치킨,,
사온,,
게임,,
배우다,,
빠르다,,
원망,,
한번,,
핑계,,
좀처럼,,
주위,,
좋아하다,,
돌려주다,,
착잡,,
교수,,
분야,,
새하얗다,,
전망,,
노인정,,
평소,,
대리,,
무안,,
거래처,,
계약,,
파기,,
투자,,
구역질,,
빠지다,,
성공,,
큰딸,,
바다,,
낚시,,
폭풍우,,
살아남다,,
죄책감,,
복이,,
통,,
상대방,,
성향,,
의식,,
못생기다,,
긴장,,
요,,
며칠,,
말하기,,
만,,
우울하다,,
부담스럽다,,
파기하다,,
불편하다,,
고생하다,,
뒤,,
안달하다,,
무안하다,,
못하다,,
황당하다,,
심란하다,,
답답하다,,
마시다,,
은퇴,,
잡다,,
사과하다,,
따돌림,,
조심하다,,
처리하다,,
뻐근하다,,
끔찍하다,,
서운하다,,
집,,
비참하다,,
실패하다,,
보험,,
좀,,
병원,,
몰래,,
부탁하다,,
피곤하다,,
낙방하다,,
짝사랑하다,,
막막하다,,
끝나다,,
혼나다,,
출퇴근하다,,
암담하다,,
걱정되다,,
창피하다,,
형편,,
당혹스럽다,,
절교하다,,
원망스럽다,,
눈물,,
발병하다,,
의심하다,,
힘들다,,
신고하다,,
연락,,
당하다,,
없이,,
지출되다,,
아프다,,
소외되다,,
지체되다,,
없다,,
수술,,
이혼하다,,
과제하다,,
난감하다,,
교통사고,,
혼란스럽다,,
맞다,,
붙다,,
싸우다,,
허무하다,,
당분간,,
대하다,,
불투명하다,,
후회하다,,
임신하다,,
고민,,
억울하다,,
만성,,
조심스럽다,,
실망하다,,
탈락하다,,
구박하다,,
불입하다,,
금전,,
한심하다,,
그만두다,,
시험,,
혐오스럽다,,
악화되다,,
가난하다,,
입원,,
심하다,,
모르다,,
포기하다,,
잔소리하다,,
질환,,
검진,,
이상하다,,
걱정,,
후회되다,,
자주,,
간,,
불만스럽다,,
당황스럽다,,
옆집,,
감정,,
뻔뻔하다,,
잔소리,,
벌어다,,
꼭,,
초조하다,,
취소되다,,
서먹하다,,
곤란하다,,
부족하다,,
채점하다,,
손가락질하다,,
그만하다,,
은퇴하다,,
출산,,
문제,,
마비되다,,
입원하다,,
인하다,,
노후,,
돌변하다,,
실망스럽다,,
적막하다,,
위로하다,,
오해하다,,
미안하다,,
불안하다,,
혼자,,
깜빡깜빡하다,,
허전하다,,
때가다,,
고민거리,,
두절되다,,
착잡하다,,
가끔,,
쓸쓸하다,,
약,,
